prolificID,filename,title,context,question,answer_start,answer,answerable question,id_question
a,24,ג'וזי כץ,"בשנת 1972 הצטרפה כץ לצמד הדודאים, להרכב שנקרא ""הטוב הרע והנערה"". ההרכב ביצע את השיר ""טוב לי לשיר"", שזכה במקום הראשון בפסטיבל הזמר והפזמון של אותה שנה. הלהקה ביצעה בהופעותיה גרסאות מתורגמות לשירים אמריקאיים ידועים, בהם ""בייבי פייס"" (""Baby Face"") ו""שמור לך חלום קטן"", וגם שירים מקוריים שכתב מנור והלחין קראוס, כמו ""ימים של קולנוע"", ""אלו שמות"" ו""הדבר הזה"". שירי המופע יצאו באלבום ""הטוב הרע והנערה"". באותה שנה השתתפה בסרט ""שוד הטלפונים הגדול"" של מנחם גולן. אגב, הלחן של ""טוב לי לשיר"" במקור היה של שיר של שמוליק קראוס בשם ""שישי חם"", שלמעשה עסק בסם החשיש, כאשר התוכן משתמש בשם מחוייך. לא רק שהשיר נפסל לשידור, גם הקליפ הצבעוני שביים עידן זעירא לשיר נפסל לשידור בגלל שקראוס מתועד שם מעשן קנאביס. הקליפ נדיר ומעולם לא שודר בטלוויזיה.",מתי הצטרפה כץ לצמד הדודאים?,0,בשנת 1972 הצטרפה כץ לצמד הדודאים,TRUE,1
b,24,ג'וזי כץ,"בשנת 1972 הצטרפה כץ לצמד הדודאים, להרכב שנקרא ""הטוב הרע והנערה"". ההרכב ביצע את השיר ""טוב לי לשיר"", שזכה במקום הראשון בפסטיבל הזמר והפזמון של אותה שנה. הלהקה ביצעה בהופעותיה גרסאות מתורגמות לשירים אמריקאיים ידועים, בהם ""בייבי פייס"" (""Baby Face"") ו""שמור לך חלום קטן"", וגם שירים מקוריים שכתב מנור והלחין קראוס, כמו ""ימים של קולנוע"", ""אלו שמות"" ו""הדבר הזה"". שירי המופע יצאו באלבום ""הטוב הרע והנערה"". באותה שנה השתתפה בסרט ""שוד הטלפונים הגדול"" של מנחם גולן. אגב, הלחן של ""טוב לי לשיר"" במקור היה של שיר של שמוליק קראוס בשם ""שישי חם"", שלמעשה עסק בסם החשיש, כאשר התוכן משתמש בשם מחוייך. לא רק שהשיר נפסל לשידור, גם הקליפ הצבעוני שביים עידן זעירא לשיר נפסל לשידור בגלל שקראוס מתועד שם מעשן קנאביס. הקליפ נדיר ומעולם לא שודר בטלוויזיה.",מתי הצטרפה כץ לדודאים,0,בשנת 1972,TRUE,2
c,4139,זינדין זידאן,"זידאן החל את הקריירה במועדון הכדורגל קאן. ב-1992 עבר לבורדו, ומשחקו עורר את תשומת לבם של ציידי הכישרונות בתחום. בעונתו האחרונה בקבוצה העפיל עמה לגמר גביע אופ""א 1996, שם פגשה במפגש כפול את באיירן מינכן. זידאן החמיץ את המשחק הראשון בשל פציעה, שב להרכב במשחק השני אך לא הצליח לעזור לקבוצתו, שהפסידה 1–5 בסיכום שני מפגשים. בשנת 1996 עבר זידאן למועדון האיטלקי יובנטוס, והפך לאחד השחקנים הדומיננטיים במרכז המגרש: הוא תרם לזכיותיה במספר אליפויות. למרות זאת, בתקופתו הפסידה הקבוצה פעמיים בגמר ליגת האלופות. בשנים 1998 ו-2000 נבחר זידאן לכדורגלן השנה בעולם על ידי פיפ""א.",מתי זידאן נולד?,42,ב-1992,FALSE,3
d,6404,ראש גדול (סדרת טלוויזיה),"איתי שותף בחברת פרסום יחד עם דניאל, יחד הם מנסים לרעיון פרסומי ב""נבטים"". הם מקימים מחתרת סודית שפועלת נגד תאגיד המזון ""מוסקט"". הם מגייסים את עידו ולאחר מכן גם את תכלת ואת מוריה, עד שהם מצליחים להפליל את אילן מוסקט ולנקות מאשמה את מוטי מוסקט. בעונה זו מצטרפות שלוש דמויות חדשות: יוליה - המטפלת של תכלת, חברה מהצבא של איתי דניאל ויעל, מפתחת קשר רומנטי עם אלמוג. אלמוג - אחיו הגדול של גילי, מתאמן במכון כושר שמנהל חברו שחר, מאוהב ביוליה ולא מפתח קשר רומנטי כי הוא חושב שהוא לא לרמה של יוליה שהיא מדענית למוח בעלת תארים באוניברסיטה. ולכן הוא חבר של יעל אפילו שאינו אוהב אותה למעשה יעל משלה את עצמה שהיא מאוהבת באלמוג שהיא בעצם אוהבת את דניאל. בסוף העונה יעל ושחר עוזרים לאלמוג וליוליה להפוך לחברים. דיתי - חברתו של דניאל מהודו, עוזרת לאיתי בעסק של נבטים. דניאל מציע לה נישואין והיא מסכימה אך לבסוף הוא נפרד מדיתי לאחר שיעל התוודתה בפניו על אהבתה אליו.",עם מי דיתי הייתה אמורה להתחתן?,751,דניאל,TRUE,4
e,266,ג'סטין לונג,"לונג נולד בפירפילד, קונטיקט שבארצות הברית, למשפחה קתולית. אמו, ונדי לסניאק היא שחקנית לשעבר שהופיעה בעיקר בתיאטרון. אביו, ריימונד ג'יימס לונג, הוא פרופסור לפילוסופיה ולטינית באוניברסיטת פירפילד. ללונג שני אחים: דמיאן, הגדול ממנו, שחקן תיאטרון וכן במאי תיאטרון ומורה בתיכון וסטון שבקונטיקט, וכריסטיאן, הצעיר ממנו, שהופיע בתפקיד קצר לצדו של לונג, בסרט ""שיגעון של קולג'"". לונג למד במכינה בבית ספר פירפילד, בבית ספר ישועי, והמשיך ללימודים גבוהים באוניברסיטת וסאר, שם היה חבר בקבוצת מערכונים, לאפינגסטוק, וכן כיכב בכמה הפקות של האוניברסיטה למחזות קיימים, כגון ""פרפרים הם חופשיים"". בנוסף, שימש כמנחה חוג תיאטרון לילדים, באוניברסיטת סקראד הארט שבפירפילד. לונג הפסיק את לימודיו מוקדם, כדי להתרכז בקריירת המשחק שלו.",איפה נמצאת אוניברסיטת סקראד הארט?,11,פירפילד,TRUE,5
f,266,ג'סטין לונג,"לונג נולד בפירפילד, קונטיקט שבארצות הברית, למשפחה קתולית. אמו, ונדי לסניאק היא שחקנית לשעבר שהופיעה בעיקר בתיאטרון. אביו, ריימונד ג'יימס לונג, הוא פרופסור לפילוסופיה ולטינית באוניברסיטת פירפילד. ללונג שני אחים: דמיאן, הגדול ממנו, שחקן תיאטרון וכן במאי תיאטרון ומורה בתיכון וסטון שבקונטיקט, וכריסטיאן, הצעיר ממנו, שהופיע בתפקיד קצר לצדו של לונג, בסרט ""שיגעון של קולג'"". לונג למד במכינה בבית ספר פירפילד, בבית ספר ישועי, והמשיך ללימודים גבוהים באוניברסיטת וסאר, שם היה חבר בקבוצת מערכונים, לאפינגסטוק, וכן כיכב בכמה הפקות של האוניברסיטה למחזות קיימים, כגון ""פרפרים הם חופשיים"". בנוסף, שימש כמנחה חוג תיאטרון לילדים, באוניברסיטת סקראד הארט שבפירפילד. לונג הפסיק את לימודיו מוקדם, כדי להתרכז בקריירת המשחק שלו.",מי מביו אחיו של לונג עוסק בהוראה?,212,מיאן,TRUE,6
c,5605,חטיבת כפיר,"תחת פיקוד חטיבת הצנחנים, גדוד חרוב הוביל את הלחימה במבצע חומת מגן בעיר שכם. בין פעולותיו בעיר, הגדוד נלחם במחנה פליטים עין בית עילמא ובשכונת רפידא. תחת פיקוד חטיבת גולני, בשנת 2002, הגדוד הוביל מבצע שני בעיר שכם. ביוני 2002 קיבל הגדוד תעודת הערכה מהאלוף יצחק איתן, מפקד פיקוד מרכז, על חלקו במבצע חומת מגן. באותה שנה, הגדוד ביצע מרדף אחרי החוליה שביצעה את שני הפיגועים בעיר עמנואל וחיסל אותה. אחד מהמחבלים שנהרגו בקרב היה בילל אל עקרא, שנחשב באותה עת למבוקש מס' 2 בשומרון. על קרב זה הוענק צל""ש מפקד אוגדה מאת תת-אלוף אודי שני, מפקד עוצבת הפלדה, למפקד הכוח המסתער, סגן עזרא לקיה.",באיזו שנה הוקם גדוד חרוב?,176,2002,FALSE,7
c,1752,פחמן דו-חמצני,"תופעות קרסט - המסת סלע גירי ויצירת מערות, בולענים, נטיפים ותצורות סלע טרשיים, הן תוצאה מהמסת CO2 מהאוויר - בגשם, בטל ובמקורות מים עומדים או זורמים לאיטם. המים הופכים לחומציים, וגורמים להמסת הסלע הגירי, ולהופעת מגוון התצורות הגאולוגיות השייכות לתופעה זו. ישנן גם תופעות קרסטיות תת-ימיות הן במי תהום שתחת אגמים במי תהום תחת הימים והאוקיינוסים, ואפילו במי תהום קדומים. דו-תחמוצת הפחמן וחומציות המים, במקרה זה, מקורם בבעלי החיים שחיו או חיים במקור המים - בעיקר פיטופלנקטון אך גם יצורים ימיים אחרים כולל דגים וסרטנים.",מהי תופעת קרסט?,14,"המסת סלע גירי ויצירת מערות, בולענים, נטיפים ותצורות סלע טרשיים",TRUE,8
g,359,פדרה (סנקה),"תמונה ב: פדרה כלאה את עצמה בחדר שלא תראה אף אחד, היא מתענה בייסורים. אנונה האומנת שלה מצליחה להוציא ממנה את הסיבה: פדרה מאוהבת בבנה החורג, היפוליטוס. ימים רבים היא רדפה את היפוליטוס כדי להרחיק אותו ממנה, אך הכל עלה בתוהו ורק מוות יגאל אותה מאהבתה אליו. באותו הזמן בארמון מובאת הבשורה כי תזאוס, אביו של היפוליטוס, נהרג בדרך. מה שאומר שעכשיו אהבתה של פדרה להיפוליטוס כבר איננה חטא כי אביו (תיזאוס שהוא בעלה של פדרה) מת, ואנונה משכנעת אותה שהכל יהיה בסדר ואסור לה לוותר. עליה לעשות יד אחת עם היפוליטוס על הממלכה ולהישמר מפני אריקיה.",תיזאוס הוא בעלה של?,408,פדרה,TRUE,9
h,4894,מחשב שלם בתוך מקלדת: בדקנו את Raspberry Pi 400,"בעבודה השוטפת, לא נתקלתי בבעיות מיוחדות בתפעול של המחשב והוא יכול לשמש על תקן של מחשב דסקטופ. כלומר דסקטופ במובן שהצלחתי לעבוד עם מקלדת פיזית בגוגל דוקס או לגלוש ברשת למשל, אבל עדיין הרגשתי שהמחשב מתאמץ. קצת קשה אולי להעביר תחושה, אבל סמכו עלי, אתם פשוט מרגישים שלאפליקציות ולאתרים לוקח זמן להיטען – ותשכחו כמובן גם מהגלילות החלקות והאנימציות שאתם מכירים מהלפטופ או מחשב המק או ה-PC שלכם. אבל ברגע שאתם בתוך האפליקציה, היא תתפקד לרוב היטב ולא נתקלתי בזליגות זיכרון או תקיעות. גם בשיחת זום שביצעתי (אין קליינט למערכת ההפעלה – לכן תצטרכו להשתמש בגרסת הווב וכמובן מצלמת רשת חיצונית) – לא נתקלתי בבעיות מיוחדות.",זום עובד על המחשב?,529,תצטרכו להשתמש בגרסת הווב,TRUE,10